CourseNumber	Course	Department	Credits	Pre-Requisites	Co-Requisites	Semesters	Restrictions
EE 3901	Design Fundamentals	Electrical &amp; Computer Engrg	2	EE 3131(C) and UN 1015	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
EE 4000	Undergraduate Research	Electrical &amp; Computer Engrg	variable to   4.0;  Repeatable to a Max of 6	null	null	"Fall, Spring, Summer"	"Permission of instructor required; Must be enrolled in one of the following Class(es): Junior, Senior"
EE 4173	Computer System Engineering and Performance	Electrical &amp; Computer Engrg	3	CS 3421 and EE 3173	null	"Fall, Spring"	Must be enrolled in one of the following Major(s): Computer Engineering
EE 4219	Introduction to Electric Machinery and Drives	Electrical &amp; Computer Engrg	3	EE 2110 or EE 2112 or EE 3010	null	Spring	Must be enrolled in one of the following Major(s): Computer Engineering
EE 4220	Introduction to Electric Machinery and Drives Laboratory	Electrical &amp; Computer Engrg	1	EE 4219(C)	null	Spring	Must be enrolled in one of the following Major(s): Computer Engineering
EE 4221	Power System Analysis 1	Electrical &amp; Computer Engrg	3	EE 3120 and (EE 2112 or EE 2110)	null	Fall	Must be enrolled in one of the following Major(s): Computer Engineering
EE 4222	Power System Analysis 2	Electrical &amp; Computer Engrg	3	EE 4221	null	Spring	Must be enrolled in one of the following Major(s): Computer Engineering
EE 4226	Power Engineering Laboratory	Electrical &amp; Computer Engrg	1	EE 4221 and EE 4222(C)	null	"Spring, Summer"	Permission of instructor required
EE 4227	Power Electronics	Electrical &amp; Computer Engrg	3	EE 3120 and (EE 3130(C) or EE 3131)	null	"Fall, Summer"	Permission of instructor required
EE 4228	Power Electronics Lab	Electrical &amp; Computer Engrg	1	EE 4227(C)	null	Fall	Permission of instructor required
EE 4231	Physical Electronics	Electrical &amp; Computer Engrg	3	EE 3130 or EE 3131	null	"Fall, Spring"	Permission of instructor required
EE 4232	Electronic Applications	Electrical &amp; Computer Engrg	3	EE 3130 or EE 3131	null	Spring	Permission of instructor required
EE 4240	Introduction to MEMS	Electrical &amp; Computer Engrg	4	null	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
EE 4252	Digital Signal Processing and its Applications	Electrical &amp; Computer Engrg	4	EE 3160	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
EE 4253	Real Time Signal Processing	Electrical &amp; Computer Engrg	3	EE 4252	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
EE 4256	Fourier Optics	Electrical &amp; Computer Engrg	3	EE 3090 or EE 3140 and EE 3160	null	Fall	Must be enrolled in one of the following Major(s): Electrical Engineering
EE 4262	Digital and Non-linear Control	Electrical &amp; Computer Engrg	3	EE 3261	null	Spring	Must be enrolled in one of the following Major(s): Electrical Engineering
EE 4271	VLSI Design	Electrical &amp; Computer Engrg	4	EE 3131 and EE 2174	null	"Fall, Summer"	Must be enrolled in one of the following Major(s): Electrical Engineering
EE 4272	Computer Networks	Electrical &amp; Computer Engrg	3	CS 3411	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
EE 4290	Optical Communication	Electrical &amp; Computer Engrg	3	EE 3291	null	Spring	Must be enrolled in one of the following Major(s): Electrical Engineering
EE 4295	Introduction to Propulsion Systems for Hybrid Electric Vehicles	Electrical &amp; Computer Engrg	3	MEEM 2200 or ENG 3200	null	"Fall, Summer"	"Must be enrolled in one of the following College(s): College of Engineering; May not be enrolled in one of the following Class(es): Freshman, Sophomore"
EE 4296	Experimental Studies in Hybrid Electric Vehicles	Electrical &amp; Computer Engrg	3	null	null	Fall	"Must be enrolled in one of the following College(s): College of Engineering; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
EE 4365	In-Vehicle Communication Networks	Electrical &amp; Computer Engrg	3	EET 1411 or EET 1120 or EE 2111 or EE 3010 or PH 2230	null	"Spring, Summer"	"Must be enrolled in one of the following College(s): College of Engineering; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
EE 4373	Advanced Programmable Controllers	Electrical &amp; Computer Engrg	4	EE 3373	null	Spring	"Must be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering; Must be enrolled in one of the following Class(es): Junior, Senior"
EE 4411	Engineering Electromagnetics	Electrical &amp; Computer Engrg	3	EE 3140	null	Fall	"Must be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering; Must be enrolled in one of the following Class(es): Junior, Senior"
EE 4490	Laser Systems and Applications	Electrical &amp; Computer Engrg	4	EE 3140	null	Spring	"Must be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering; Must be enrolled in one of the following Class(es): Junior, Senior"
EE 4495	Software/Hardware Design of Multimedia Systems	Electrical &amp; Computer Engrg	3	CS 3411 and EE 4173	null	Spring	Must be enrolled in one of the following Level(s): Graduate
EE 4723	Network Security	Electrical &amp; Computer Engrg	3	EE 4272 or CS 4461	null	Fall	Must be enrolled in one of the following Level(s): Graduate
EE 4735	Embedded Systems Engineering	Electrical &amp; Computer Engrg	3	(CS 1141 or EE 2241) and (EE 3170 or EE 3171 or EE 3173)	null	"Spring, Summer"	May not be enrolled in one of the following Level(s): Graduate
EE 4777	Distributed Additive Manufacturing Using Open-Source 3-D Printing	Electrical &amp; Computer Engrg	3	null	null	Fall	"Must be enrolled in one of the following College(s): College of Engineering; Must be enrolled in one of the following Class(es): Junior, Senior"
EE 4800	Special Topics in Electrical Engineering	Electrical &amp; Computer Engrg	variable to   4.0;  Repeatable to a Max of 6	null	null	On Demand	Permission of instructor and department required
EE 4805	Electrical Engineering Project	Electrical &amp; Computer Engrg	variable to   3.0;  Repeatable to a Max of 6; Graded Pass/Fail Only	null	null	"Fall, Spring, Summer"	Permission of instructor and department required
EE 4870	Special Topics in Computer Engineering	Electrical &amp; Computer Engrg	variable to   4.0;  Repeatable to a Max of 6	null	null	On Demand	Permission of instructor and department required
EE 4901	EE Design Project 1	Electrical &amp; Computer Engrg	2	(EE 3131 or (EE 3130 and EE 3305)) and (EE 3901 or EE 4900) and (EE 3170(C) or EE 3171(C) or EE 3173(C))	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
EE 4910	EE Design Project 2	Electrical &amp; Computer Engrg	2	EE 4901	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
EET 1120	Circuits I	Electrical Engrg Technology	4	MA 1031(C) or MA 1032(C) or MA 1160(C) or MA 1161(C) or MA 1135(C)	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
EET 1411	Basic Electronics	Electrical Engrg Technology	4	MA 1031 or MA 1032 or MA 1160(C) or MA 1161(C) or MA 1135(C)	null	"Fall, Spring, Summer"	"Must be enrolled in one of the following Major(s): Mechanical Engineering Tech, Surveying Engineering, Computer Network &amp; System Admn"
EET 2120	Circuits II	Electrical Engrg Technology	4	EET 1120 and (MA 1160(C) or MA 1161(C) or MA 1135(C))	null	Fall	"Must be enrolled in one of the following Major(s): Mechanical Engineering Tech, Surveying Engineering, Computer Network &amp; System Admn"
EET 2141	Digital Electronics and Microprocessor Fundamentals	Electrical Engrg Technology	4	EET 1120 or EET 1411	null	Fall	"Must be enrolled in one of the following Major(s): Mechanical Engineering Tech, Surveying Engineering, Computer Network &amp; System Admn"
EET 2142	Digital Design and Modeling Using VHDL	Electrical Engrg Technology	3	EET 2141	null	Spring	"Must be enrolled in one of the following Major(s): Mechanical Engineering Tech, Surveying Engineering, Computer Network &amp; System Admn"
EET 2220	Electronic Devices &amp; Circuits	Electrical Engrg Technology	4	EET 2120	null	Spring	"Must be enrolled in one of the following Major(s): Mechanical Engineering Tech, Surveying Engineering, Computer Network &amp; System Admn"
EET 2233	Electrical Machinery	Electrical Engrg Technology	4	EET 1411 or EET 2120(C)	null	"Fall, Summer"	"Must be enrolled in one of the following Major(s): Mechanical Engineering Tech, Surveying Engineering, Computer Network &amp; System Admn"
EET 2241	C++ and Matlab Programming	Electrical Engrg Technology	3	MA 2160(C)	null	Spring	Must be enrolled in one of the following Major(s): Electrical Eng Tech (BS)
EET 2411	Digital Electronics	Electrical Engrg Technology	3	EET 1411 and (MA 1031(C) or MA 1032(C) or MA 1160(C) or MA 1161(C) or MA 1135(C))	null	Spring	Must be enrolled in one of the following Major(s): Computer Network &amp; System Admn
EET 2413	Data Communications	Electrical Engrg Technology	3	EET 1411 or EET 1120	null	"Fall, Summer"	"Must be enrolled in one of the following Major(s): Electrical Eng Tech (BS), Computer Network &amp; System Admn"
EET 3131	Instrumentation	Electrical Engrg Technology	3	EET 1411 or EET 2220 or PH 2230 or EE 2110 or EE 3010	null	Spring	"Must be enrolled in one of the following Major(s): Electrical Eng Tech (BS), Computer Network &amp; System Admn"
EET 3141	Computer Architecture and Design	Electrical Engrg Technology	4	EET 2241 and EET 2142(C)	null	Fall	"Must be enrolled in one of the following Major(s): Electrical Eng Tech (BS), Computer Network &amp; System Admn"
EET 3143	Programmable Logic Devices	Electrical Engrg Technology	3	EET 3141	null	"Fall, Spring"	"Must be enrolled in one of the following Major(s): Electrical Eng Tech (BS), Computer Network &amp; System Admn"
EET 3225	Special Electronic Devices	Electrical Engrg Technology	4	EET 2220	null	Fall	"Must be enrolled in one of the following Major(s): Electrical Eng Tech (BS), Computer Network &amp; System Admn"
